City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,ninghai,29.2892,121.4247,14.360000000000014,89,0,0.66,CN,1667862955
67,punta arenas,-53.15,-70.9167,15.060000000000002,63,75,9.26,CL,1667862810
68,tamandare,-8.7597,-35.1047,24.74000000000001,81,70,2.11,BR,1667862955
69,thompson,55.7435,-97.8558,-17.899999999999977,96,69,1.55,CA,1667862753
70,inuvik,68.3499,-133.7218,-15.519999999999982,78,75,2.57,CA,1667862956
71,westport,41.1415,-73.3579,21.900000000000034,28,0,4.12,US,1667862749
72,rio bueno,-40.3167,-72.9667,19.08000000000004,66,41,1.87,CL,1667862956
73,macomb,40.4592,-90.6718,11.490000000000009,40,97,1.34,US,1667862956
74,sistranda,63.7256,8.834,4.980000000000018,68,98,2.53,NO,1667862957
75,saint-pierre,-21.3393,55.4781,21.82000000000005,73,0,3.09,RE,1667862957
76,rafaela,-31.2503,-61.4867,23.879999999999995,26,54,1.34,AR,1667862957
77,oum hadjer,13.2954,19.6966,29.05000000000001,18,90,4.28,TD,1667862958
78,ballina,-28.8667,153.5667,19.670000000000016,66,35,2.46,AU,1667862958
79,tuktoyaktuk,69.4541,-133.0374,-17.0,78,40,4.12,CA,1667862959
80,torbay,47.6666,-52.7314,15.980000000000018,94,100,10.29,CA,1667862935
81,mahebourg,-20.4081,57.7,22.160000000000025,83,20,1.54,MU,1667862959
82,namatanai,-3.6667,152.4333,28.939999999999998,70,85,2.28,PG,1667862959
83,kermen,42.5,26.25,5.900000000000034,93,20,0.0,BG,1667862960
84,mitsamiouli,-11.3847,43.2844,25.180000000000007,83,1,5.96,KM,1667862960
85,nizhnevartovsk,60.9344,76.5531,-2.9899999999999523,100,100,3.13,RU,1667862960
86,santa maria,-29.6842,-53.8069,15.850000000000023,68,7,3.78,BR,1667862961
87,ulladulla,-35.35,150.4667,19.730000000000018,60,2,3.22,AU,1667862961
88,dutse,11.7594,9.3392,23.5,22,11,3.24,NG,1667862962
89,naukot,24.8587,69.4024,22.80000000000001,46,12,3.24,PK,1667862962
90,hobart,-42.8794,147.3294,21.700000000000045,59,0,4.12,AU,1667862332
91,biograd na moru,43.9433,15.4519,7.390000000000043,75,51,1.26,HR,1667862963
92,quatre cocos,-20.2078,57.7625,22.060000000000002,79,0,4.36,MU,1667862963
93,camacha,33.0833,-16.3333,17.680000000000007,94,40,1.03,PT,1667862964
94,sur,22.5667,59.5289,27.57000000000005,64,91,4.66,OM,1667862965
95,ushtobe,45.2514,77.9838,9.410000000000025,81,100,4.86,KZ,1667862965
96,belaya gora,68.5333,146.4167,-28.49999999999997,98,24,2.77,RU,1667862967
97,mitzic,0.7821,11.549,20.370000000000005,97,100,0.45,GA,1667862967
98,pathein,16.7833,94.7333,21.970000000000027,88,63,1.95,MM,1667862968
99,tsabong,-26.0217,22.401,16.79000000000002,82,99,2.34,BW,1667862969
100,matara,5.9485,80.5353,24.360000000000014,87,100,0.92,LK,1667862969
101,yellowknife,62.456,-114.3525,-14.579999999999984,95,84,1.49,CA,1667862471
102,saskylakh,71.9167,114.0833,-31.369999999999976,99,27,2.21,RU,1667862999
103,cabo san lucas,22.8909,-109.9124,27.610000000000014,64,20,7.72,MX,1667862921
104,tambacounda,13.7539,-13.7586,25.03000000000003,78,0,1.03,SN,1667863000
105,qaanaaq,77.484,-69.3632,-18.139999999999986,97,100,3.69,GL,1667862503
106,port elizabeth,-33.918,25.5701,17.400000000000034,86,100,3.13,ZA,1667862516
107,ilulissat,69.2167,-51.1,-21.619999999999976,88,20,2.87,GL,1667863001
108,cidreira,-30.1811,-50.2056,16.74000000000001,82,33,6.06,BR,1667863001
109,cherskiy,68.75,161.3,-22.18999999999997,99,15,1.17,RU,1667863001
110,de aar,-30.6497,24.0123,17.370000000000005,64,99,4.91,ZA,1667863001
111,ishigaki,24.3448,124.1572,25.07000000000005,88,75,5.66,JP,1667863002
112,taltal,-25.4,-70.4833,16.24000000000001,80,36,2.44,CL,1667863002
113,ponta do sol,32.6667,-17.1,20.400000000000034,87,73,1.29,PT,1667863003
114,chokurdakh,70.6333,147.9167,-24.23999999999998,94,83,5.57,RU,1667863003
115,lazaro cardenas,17.9583,-102.2,27.920000000000016,75,8,3.5,MX,1667862726
116,arraial do cabo,-22.9661,-42.0278,20.980000000000018,78,75,1.03,BR,1667863005
117,inhambane,-23.865,35.3833,24.360000000000014,85,91,3.78,MZ,1667863006
118,kapaa,22.0752,-159.319,28.99000000000001,72,0,6.69,US,1667863006
119,pachuca,20.117,-98.7333,17.260000000000048,57,6,5.46,MX,1667862717
120,ilhabela,-23.7781,-45.3581,18.510000000000048,86,95,1.2,BR,1667863006
121,boldumsaz,42.1282,59.671,4.03000000000003,83,73,3.1,TM,1667863007
122,puri,19.8,85.85,21.29000000000002,67,91,1.47,IN,1667863008
123,namibe,-15.1961,12.1522,20.260000000000048,76,2,3.92,AO,1667863008
124,berezovyy,51.6667,135.7,-4.96999999999997,72,47,2.28,RU,1667863009
125,upernavik,72.7868,-56.1549,-12.699999999999989,86,95,2.19,GL,1667863009
126,saint-philippe,-21.3585,55.7679,21.77000000000004,80,66,4.46,RE,1667863009
127,broken hill,-31.95,141.4333,22.420000000000016,44,24,3.49,AU,1667863010
128,bambous virieux,-20.3428,57.7575,22.140000000000043,83,20,1.54,MU,1667863010
129,buchanan,5.8808,-10.0467,25.52000000000004,86,100,2.03,LR,1667863010
130,kutum,14.2,24.6667,20.200000000000045,26,9,3.28,SD,1667863011
131,kokopo,-4.352,152.2633,28.77000000000004,68,62,2.83,PG,1667863016
132,mar del plata,-38.0023,-57.5575,17.83000000000004,88,0,7.2,AR,1667863016
133,vestmannaeyjar,63.4427,-20.2734,5.640000000000043,86,99,7.62,IS,1667862503
134,chuy,-33.6971,-53.4616,14.82000000000005,83,4,4.15,UY,1667862454
135,pangnirtung,66.1451,-65.7125,-10.0,48,0,1.54,CA,1667863016
136,mbengwi,6.0167,10.0,17.189999999999998,88,100,0.79,CM,1667863017
137,pevek,69.7008,170.3133,-16.91999999999996,95,11,1.29,RU,1667863017
138,buenos aires,-34.6132,-58.3772,21.110000000000014,74,0,9.26,AR,1667862466
